controlCategory,controlType,controlPeriodocity,control,controlID
NA,Manual,0.1,Verify the formal correctness of the disbursement request received,4528
NA,Manual,0.1,Check the conditions for the disbursement and call for funds,3319
NA,NA,,Check acquisition of messages by the Bank of Italy,398
NA,Manual,0.1,Verify the correct and complete compilation of the form,4995
NA,Manual,0.1,Check the completeness of the documentation sent,2819
NA,Semi-automatic,92.0,Carry out quantitative and qualitative controls,2387
NA,Semi-automatic,92.0,Check the result of sending the report,1226
NA,Semi-automatic,92.0,Check that the flow has been generated,1225
NA,Semi-automatic,0.1,Verify the correct registration of the payment,5144
NA,Semi-automatic,0.1,Check the correctness of the accounting,3547
NA,Manual,0.1,Verify the correctness of the provision and the action taken,1519
NA,Manual,0.1,Verify the correctness of the payment,5525
NA,Semi-automatic,0.1,Verify the correctness of the information entered in the archive,1520
NA,Semi-automatic,30.0,Check for any anomalies during production and data transmission,5214
NA,Semi-automatic,30.0,Check the complete compilation of the template,5650
NA,Automatic,1.0,Manage technical balances between applications,1868
NA,Manual,0.1,Verify the correctness and consistency of the quantitative analysis,5348
NA,Semi-automatic,0.1,Verify that management data is aligned with the nature of the operation,5054
NA,Manual,0.1,Verify the correctness and consistency of the qualitative analysis,3710
NA,Manual,0.1,Verify the correctness of the data relating to the recognition of credits,497
NA,Manual,0.1,Check the consistency of the resolution with the proposed structured credit facility,5538
NA,Manual,0.1,"Verify that you have performed the SPPI Test for changes during the approval / improvement phase and, based on the outcome of the Test, carry out the necessary activities",88
NA,Manual,0.1,Verify the exact allocation of credit,3935
NA,Manual,0.1,Verify the correct contractualisation of credit lines,3968
NA,Automatic,0.1,Verify the correct uploading of the operation to the system,2602
NA,Manual,0.1,Verify the correct contractualisation of credit lines,4758
NA,Manual,0.1,Check TEG factoring,3262
NA,Manual,0.1,Verify the correct acquisition/perfection/accounting of guarantees,3936
NA,Manual,0.1,Verify the correct loading of the Trade File and DTCC File extracts,1407
NA,Manual,0.1,Verify the correct loading of the trade file,4555
NA,Manual,0.1,Verify the correct loading of the trade file,3294
NA,Manual,0.1,Check that the trade file and DTCC file have been loaded correctly,4554
NA,NA,,Check the NDG entered in the system,434
NA,NA,,Verify the identity of the applicant,4402
NA,NA,,Validate the list,5036
NA,NA,,Verify and validate the correct acquisition of the documentation,5037
Professional,NA,,Check the completeness of the analysis,2698
NA,NA,,Evaluate the impact of the defined scenarios,3919
NA,NA,,Verify the correctness of the calculation of the impacts of the adverse scenarios,3921
NA,NA,,Check the completeness of the documentation,3920
Operational,Manual,0.1,Send emails to your structure mailbox for subsequent forwarding to the custodian,1576
Operational,Manual,0.1,Check the correctness of the operation,1869
Operational,Manual,0.1,Verify the congruence of the metal to be delivered,3730
NA,NA,,Verify correctness of data,2274
Operational,Manual,0.1,Verify correctness of updating LGD grids,1131
NA,Manual,0.1,Verify the correctness of the calculation of value adjustments,1132
Operational,NA,,Verify consistency and updating of triage models,4489
Operational,NA,,Verify the correct engagement,5635
Operational,NA,,Verify the effective sending of the Event Log,3169
NA,Manual,0.1,Verify that the payment amount is correct,510
NA,Manual,0.1,Check the data entered in the system,4496
NA,Manual,30.0,Verify adequacy of the corrected TIT and insertion in the Opera Engine,1556
Operational,Manual,1.0,Check the operations in Pending status,3088
NA,Manual,0.1,Verify data agreed,4625
NA,Manual,0.1,Verify the correctness of the communication,2677
Operational,Manual,30.0,Verify the correct transposition of the corrected TIT,2783
NA,Manual,0.1,Verify documentation to be presented to the BoD,1747
NA,Manual,30.0,Carry out performance checks on the size of the masses,5493
NA,Semi-automatic,365.0,Carry out capacity tests of zero-remuneration accounts,4507
NA,Manual,365.0,Carry out a complete check of the models guide parameters,4508
NA,Manual,182.0,Carry out infra-annual tests,4218
NA,Manual,0.1,Check for the presence of exogenous events to the model,4216
NA,Semi-automatic,30.0,Carry out mass capacity tests,4217
NA,NA,,Verify the consistency of the contributions received,3035
Operational,NA,,Keep data up to date,5129
NA,Manual,182.0,Verify the correct transposition of the changes,5583
NA,NA,,Check presence and completeness of AM progress,3431
NA,NA,,Verify complete AM loading,4724
Operational,Manual,0.1,Verify the correct calculation of the threshold,4568
Operational,Automatic,1.0,Verify attention threshold attributed to customers,3242
Operational,Manual,1.0,Tick the receipt of documentation from the customer,3244
NA,Manual,1.0,Monitor the expiration of derivatives with physical delivery,3243
NA,Manual,0.1,Verify the consistency of the test with the expected results on the input stream,1518
NA,Manual,0.1,Verify the complete and correct census,4214
Operational,Manual,0.1,Verify the congruence of the metal to be delivered,3854
Operational,Manual,0.1,Check the correctness of the operation,1692
Operational,Manual,0.1,Check for the presence of suitable insurance coverage for transport,3504
Operational,Manual,0.1,Check the correctness of the operation,4433
Operational,Manual,1.0,Check the warehouse balances,2701
Professional,Manual,0.1,Certify metal received,1570
NA,Manual,0.1,Verify metal quantity documentation,3238
Professional,Manual,0.1,Certify metal received,2931
NA,Semi-automatic,30.0,Check for any anomalies during shipping,5335
NA,Semi-automatic,30.0,Check the validity of the report,2293
NA,Manual,0.1,Verify campaign compliance,91
NA,Manual,0.1,Verify the correctness of the revenues expected or to be returned and analyze any deviations,1043
NA,Manual,0.1,Verify the correct definition of the agreement,3499
Operational,Manual,0.1,Verify the correct accounting of the payment,5316
NA,Manual,0.1,Check eligibility criteria,1699
NA,NA,,Verify eligibility criteria on the basis of contracts,2631
NA,Semi-automatic,0.1,Carry out regulatory checks,3304
NA,Manual,0.1,Verify receipt of all matches,4108
NA,Manual,0.1,Verify the correctness of the signal flow,2241
NA,Semi-automatic,92.0,Verify and make any adjustments to the report,4439
NA,Manual,92.0,Check the received data,1438
NA,Semi-automatic,92.0,Perform trend checking on the data,4438
NA,Manual,0.1,Verify the correctness of the decision-making process,2013
NA,Manual,0.1,Check for correct pricing in sections with financial content,4727
NA,Manual,0.1,Check that consent has been acquired for the application of commissions not in line with the M&A Advisory/RE Advisory Commission Tables,3928
NA,Manual,0.1,BdT Check the correct pricing in the sections with financial content,349
NA,Manual,0.1,BdT Verify the correct determination of the price in the preparation of the contracts,638
NA,Manual,0.1,BdT - Verify the correct conduct in determining the price,1640
NA,Manual,0.1,BdT Verify congruence determination of the price,1016
NA,Manual,0.1,Check the determination of the price in the case of issuing Opinions,648
NA,Manual,0.1,Check the contents of the mandate,2831
NA,Manual,0.1,Verify contents of the BdT mandate,493
NA,Manual,0.1,Verify the correct determination of the price in the preparation of the contracts,678
NA,Manual,0.1,Verify correct entry of the text of conflicts of interest sent by Conflict Check and Clearing Sensitive Operations,17
NA,Manual,0.1, Check that consent has been acquired for the application of commissions not in line with the M&A Advisory/RE Advisory Commission Tables<<,944
NA,Manual,0.1,BdT Verify the determination of the price in the case of issuing Opinions,1079
NA,Manual,0.1,Verify pricing congruence,3107
NA,Manual,0.1,Verify correct entry of the text of conflicts of interest sent by Conflict Check and Clearing Sensitive Operations BdT,1208
NA,Manual,0.1,Verify the correct conduct in determining the price,5312
NA,Semi-automatic,1.0,Verify the correct accounting of the operation,1315
NA,Automatic,0.1,Prepare the transfer contracts not produced automatically by the system,2553
NA,Manual,0.1,Check contracts/documentation acquired,960
NA,NA,,Check the activities performed on the broken covenants,1704
NA,NA,,Check the activities performed on the broken covenants,1705
NA,NA,,Check the activities performed on the broken covenants,1706
NA,NA,,Check the activities performed on the broken covenants,1707
Professional,NA,,Check the consistency of the values entered in the system,3738
Professional,NA,,Check the consistency of the values entered in the system,3739
Professional,NA,,Check the consistency of the values entered in the system,3740
Professional,NA,,Check the consistency of the values entered in the system,3741
NA,NA,,Verify the processing of the reports received,199
NA,NA,,Verify the processing of the reports received,200
NA,NA,,Verify the processing of the reports received,201
NA,NA,,Verify the processing of the reports received,202
NA,Manual,0.1,Check that the Tool for carrying out the SPPI Test present in the Credit Portal is correctly powered,2968
NA,Semi-automatic,1.0,Verify the outcome of the data processing,2110
NA,Semi-automatic,0.1,Check the outcome of the calculation of the rate values,3723
Operational,Manual,0.1,Verify that the Supplier/Dealer belongs to the Economic Group of the Lead Chain,1712
NA,Manual,0.1,Verify the data provided by the Head of the Supply Chain and the reports in the application,3586
NA,Manual,0.1,Check the requirements of the Lead Supplier and the contract,2001
Operational,NA,,Ensure compliance with the reporting deadlines established by law,1926
NA,Semi-automatic,0.1,Check that the surface variation data has been correctly entered into the system,4854
NA,Semi-automatic,0.1,Monitor the status of anomalies,5006
NA,Manual,0.1,Verify Correct filing,2107
NA,Manual,30.0,Make a new comparison,2655
Operational,Manual,30.0,Compare with the Trial Balance,2654
NA,Manual,0.1,Verify the correct updating and ISTAT adjustment of the rent,2976
NA,Manual,0.1,Verify the correctness of the data update of the active lease,2975
NA,Manual,0.1,Check the simulated billing,4945
NA,Manual,0.1,Verify the adequacy of the rent compared to market values,2569
NA,Manual,0.1,Carry out checks for IFRS16 purposes,1507
NA,Manual,0.1,Check the correctness of entering the data of the active lease,2974
NA,Manual,0.1,Check the rediscount simulation,4946
NA,Manual,1.0,Check P&L reports,3418
NA,Semi-automatic,1.0,Verify correct flow processing,2454
NA,Semi-automatic,1.0,Verify P&L Processing,5061
NA,Manual,1.0,Check P&L reports,2188
NA,Semi-automatic,1.0,Verify correct flow processing,222
NA,Semi-automatic,1.0,Check P&L Attribution,3417
NA,Manual,365.0,Check the completeness and accuracy of the tables/information Notes,1911
NA,Manual,365.0,Check the consistency of the data entered in the NI tables,1912
NA,Manual,92.0,Carry out a trend analysis of the different types of loans,5429
NA,NA,,Check the machining of the intercepted positions,354
NA,NA,,Check the machining of the intercepted positions,355
NA,Manual,0.1,Validate deals,4689
NA,Manual,0.1,Check commission calculation,4688
NA,Semi-automatic,1.0,Check the remaining certificates in load,5040
