activityType,activityCategory,activity,activityID
control activity,Operational,Check,4058
process activity,Professional,Evaluate the request received,10677
process activity,Operational,Communicate the impossibility to release the undertaking,7213
common process activity,Operational,"Verify the non ""black listed"" nature of the subjects involved in the operation",27045
process activity,Operational,Account for commissions,323
control activity,Operational,Oversee the risk of incorrect and/or incomplete accounting of commissions,15680
process activity,Professional,Account and contact the Beneficiary Bank,313
process activity,Operational,Receive and parse the request message,18538
process activity,Professional,Record the received request and perform the AFC checks,19483
process activity,Operational,Download undertaking,9379
control activity,Operational,Check highlighted Black Listed callsign,4668
process activity,Operational,Validate the booking of the request and the sending of the swift msg to the Beneficiary Bank,24709
process activity,Operational,Check commission retrocession,4236
